Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
1978-12-29,226.0,137.06,,110.7,,,,,,,,,,,,,,,
1979-01-01,226.0,137.06,,110.7,,,,,,,,,,,,,,,
1979-01-02,226.8,137.29,43164.91,111.45,263.74,359.62,1792.85,,,735.6,138160.45,851.29,4454.55,,,107470.04,,194.56,193.61
1979-01-03,218.6,134.01,43717.9,107.98,264.39,365.87,1802.15,,,739.42,138877.01,855.71,4477.66,,,108027.43,,192.23,192.97
1979-01-04,223.15,136.79,43674.89,110.66,264.14,366.38,1811.74,,,743.36,139616.26,860.26,4501.49,,,108602.47,,193.01,194.55
1979-01-05,225.5,138.35,44582.47,111.63,268.39,373.72,1843.57,,,756.42,142069.1,875.38,4580.57,,,110510.44,,196.4,197.94
1979-01-08,223.1,136.38,44436.22,110.15,269.53,372.64,1841.33,,,750.88,141870.9,869.67,4574.18,,,110356.27,,197.16,197.92
1979-01-09,224.0,137.29,44045.61,110.95,266.3,372.78,1822.52,,,743.34,140446.68,860.94,4528.26,,,109248.42,,195.04,195.93
1979-01-10,220.7,135.48,43366.38,109.94,261.79,365.87,1803.5,,,735.58,138981.01,851.96,4481.01,,,108108.33,,191.95,192.68
1979-01-11,220.65,135.94,43770.55,110.19,262.51,370.88,1814.57,,,740.1,139833.76,857.18,4508.5,,,108771.66,,192.35,193.81
1979-01-12,217.6,134.08,42837.13,109.02,257.19,364.62,1782.62,,,727.06,137371.81,842.09,4429.12,,,106856.59,,187.08,189.8
1979-01-15,216.85,133.83,42795.27,108.81,256.83,367.75,1782.01,,,718.14,135122.4,825.53,4374.72,,,106819.82,,187.25,189.84
1979-01-16,220.65,135.62,43225.85,110.19,260.89,367.73,1796.52,,,723.99,136222.93,832.25,4410.35,,,107689.84,,189.25,191.88
1979-01-17,227.25,139.22,44349.65,113.26,267.56,376.22,1842.06,,,742.34,139676.15,853.35,4522.15,,,110419.75,,196.0,197.13
1979-01-18,231.75,141.66,44823.37,115.3,270.81,379.1,1861.74,,,750.27,141168.09,862.47,4570.45,,,111599.19,,197.11,198.96
1979-01-19,230.55,141.14,46908.77,115.07,280.94,396.08,1940.75,,,782.11,147159.35,899.07,4764.43,,,116335.53,,206.5,207.64
1979-01-22,235.0,144.0,46387.41,117.59,278.27,393.5,1886.87,,,781.14,146492.75,898.43,4746.64,,,115493.28,,203.47,205.66
1979-01-23,230.0,141.14,45633.13,115.23,273.28,386.81,1895.37,,,768.44,144110.68,883.82,4669.46,,,113615.29,,200.67,202.03
1979-01-24,236.1,144.69,46372.42,118.05,278.94,392.79,1926.08,,,780.89,146445.39,898.14,4745.11,,,115455.95,,203.92,205.6
1979-01-25,233.85,143.98,46890.28,117.34,280.1,397.24,1937.79,,,785.63,147335.76,903.6,4773.96,,,116157.91,,205.16,206.49
1979-01-26,235.45,144.64,46801.3,118.02,279.57,394.61,1929.26,,,782.17,146687.14,899.62,4752.94,,,115646.54,,204.26,205.97
1979-01-29,235.2,145.25,46917.32,117.89,279.33,395.28,1886.95,,,780.0,146264.74,896.12,4721.93,,,115498.47,,203.14,205.97
1979-01-30,233.5,144.09,46907.17,116.93,278.46,394.21,1921.57,,,777.89,145868.42,893.69,4709.14,,,115185.51,,203.06,205.58
1979-01-31,233.7,144.84,45160.33,117.44,267.1,379.32,1840.82,,,745.2,139739.28,856.14,4511.27,,,108235.82,,194.53,197.17
1979-02-01,229.35,142.85,47160.45,115.77,279.15,397.11,1927.14,,,780.14,146291.24,896.28,4722.79,,,113310.67,,202.31,205.83
1979-02-02,230.3,143.48,46328.34,116.31,275.53,393.04,1907.37,,,772.14,144790.59,887.09,4674.34,,,112148.33,,199.41,203.54
1979-02-05,243.1,150.26,47766.02,122.18,285.76,403.85,1971.85,,,800.5,149178.81,909.71,4797.3,,,115919.09,,206.98,210.87
1979-02-06,244.5,150.8,48317.7,122.56,289.72,408.72,1996.78,,,810.76,151091.56,921.38,4858.81,,,117405.39,,210.96,214.0
1979-02-07,251.6,153.67,48835.68,124.93,296.91,412.32,2030.96,,,824.64,153677.83,937.15,4941.98,,,119415.05,,215.62,218.4
1979-02-08,250.5,153.49,50293.31,124.94,303.28,420.59,2081.04,,,844.98,157467.47,960.26,5063.85,,,122359.78,,217.64,223.09
1979-02-09,246.75,151.3,48548.55,123.25,291.41,405.69,2000.87,,,812.59,151432.5,923.46,4869.78,,,117670.31,,208.84,214.72
1979-02-12,244.25,150.01,49820.36,121.88,297.99,415.38,2046.37,,,840.72,156000.02,961.53,5036.84,,,120300.06,,214.33,219.96
1979-02-13,240.6,148.1,48714.8,120.09,291.01,406.46,2000.6,,,822.06,152538.2,940.2,4925.06,,,117630.47,,208.71,214.41
1979-02-14,240.65,148.25,47638.54,120.03,283.22,397.88,1946.67,,,799.9,148426.06,914.85,4792.29,,,114459.38,,202.58,209.87
1979-02-15,247.75,152.37,49146.71,123.63,292.56,408.03,2008.3,,,825.22,153125.02,943.81,4944.01,,,118083.0,,209.82,216.39
1979-02-16,247.05,152.19,49351.91,123.34,293.47,411.88,2016.69,,,828.67,153764.35,947.75,4964.65,,,118576.02,,210.0,217.17
1979-02-19,248.1,152.84,50094.5,123.86,298.26,417.45,2047.39,,,839.89,156000.12,959.52,5087.33,,,120360.21,,213.55,220.5
1979-02-20,247.0,152.24,49921.71,123.22,296.38,414.47,2032.39,,,833.88,154884.13,952.66,5050.94,,,119499.17,,209.96,219.3
1979-02-21,250.75,154.63,50398.61,124.91,297.8,417.09,2039.17,,,836.67,155400.89,955.84,5067.79,,,119897.88,,210.97,220.52
1979-02-22,252.35,155.4,50607.37,125.58,300.21,420.48,2052.67,,,842.21,156429.89,962.16,5101.35,,,120691.79,,212.58,222.3
1979-02-23,251.0,154.44,50405.39,124.75,299.39,417.97,2041.96,,,837.81,155613.42,957.14,5074.72,,,120061.85,,211.74,221.32
1979-02-26,248.6,152.73,50592.58,123.01,299.65,416.75,2034.48,,,837.22,156436.94,957.36,5042.23,,,119622.72,,211.49,221.69
