Date,AVG_RTN,CSAD_AVG,CSSD_AVG,SHSZ300,up_avg,down_avg,up1_avg,down1_avg,up5_avg,down5_avg,up10_avg,down10_avg,shsz300_up,shsz300_down
2015/1/5,0.011676431,0.020233675,0.026057519,0.02788759,1,0,0,0,0,0,0,0,1,0
2015/1/6,0.015059961,0.016687451,0.02195404,0.001041786,1,0,0,0,0,0,0,0,1,0
2015/1/7,0.000370482,0.016355209,0.023162212,0.000959023,1,0,0,0,0,0,0,0,1,0
2015/1/8,-0.00033858,0.015202099,0.023774747,-0.023632931,0,1,0,0,0,0,0,0,0,1
2015/1/9,-0.007706889,0.013834166,0.018742582,-0.002803793,0,1,0,0,0,0,0,0,0,1
2015/1/12,-0.006150845,0.030350927,0.038527208,-0.00831006,0,1,0,0,0,0,0,0,0,1
2015/1/13,0.021530312,0.018555317,0.025393451,-1.30E-05,1,0,0,0,0,0,0,0,0,1
2015/1/14,-0.001238292,0.018727206,0.022995729,-0.002746951,0,1,0,0,0,0,0,0,0,1
2015/1/15,0.003122108,0.010916794,0.015911222,0.030625056,1,0,0,0,0,0,0,0,1,0
2015/1/16,0.009697827,0.009266332,0.011934707,0.003911233,1,0,0,0,0,0,0,0,1,0
2015/1/19,-0.030740536,0.023468906,0.029539874,-0.080842837,0,1,0,0,0,0,0,1,0,1
2015/1/20,0.034320184,0.010025449,0.012229013,0.013372136,1,0,0,0,0,0,1,0,1,0
2015/1/21,0.023292628,0.013725144,0.018060706,0.044597754,1,0,0,0,0,0,0,0,1,0
2015/1/22,0.015158889,0.014562753,0.021613529,0.00535992,1,0,0,0,0,0,0,0,1,0
2015/1/23,-0.00794737,0.020956469,0.029659807,-0.002576089,0,1,0,0,0,0,0,0,0,1
2015/1/26,0.01475986,0.015449569,0.026320111,0.007102435,1,0,0,0,0,0,0,0,1,0
2015/1/27,0.004422808,0.014772265,0.019830994,-0.007714513,1,0,0,0,0,0,0,0,0,1
2015/1/28,0.003411189,0.017352346,0.022593649,-0.014998771,1,0,0,0,0,0,0,0,0,1
2015/1/29,-0.007919505,0.016242368,0.025133165,-0.012199121,0,1,0,0,0,0,0,0,0,1
2015/1/30,-0.011346963,0.021241384,0.03130364,-0.014813623,0,1,0,0,0,0,0,0,0,1
